elapsed_time,card_serial,channel,temperature,load_power,ot_shutdown_t,ot_ev,voltage,current,steady_state,temp_rate_per_min
1.1529773473739624e-06,DT00,0,31.0,1.1764705882352942,85.0,False,12.00439453125,3.9413085937499996,False,
1.1529773473739624e-06,DT00,1,31.0,1.1764705882352942,85.0,False,12.00439453125,3.9413085937499996,False,
1.1529773473739624e-06,DT00,2,30.0,1.1764705882352942,85.0,False,12.00439453125,3.9413085937499996,False,
1.1529773473739624e-06,DT00,3,30.0,1.1764705882352942,85.0,False,12.00439453125,3.9413085937499996,False,
1.1529773473739624e-06,DT00,4,31.5,1.1764705882352942,85.0,False,12.00439453125,3.9413085937499996,False,
1.1529773473739624e-06,DT00,5,31.5,1.1764705882352942,85.0,False,12.00439453125,3.9413085937499996,False,
1.1529773473739624e-06,DT00,6,30.0,1.1764705882352942,85.0,False,12.00439453125,3.9413085937499996,False,
1.1529773473739624e-06,DT00,7,29.5,1.1764705882352942,85.0,False,12.00439453125,3.9413085937499996,False,
1.1529773473739624e-06,DT00,8,31.0,1.1764705882352942,85.0,False,12.00439453125,3.9413085937499996,False,
1.1529773473739624e-06,DT00,9,31.5,1.1764705882352942,85.0,False,12.00439453125,3.9413085937499996,False,
1.1529773473739624e-06,DT00,10,30.5,1.1764705882352942,85.0,False,12.00439453125,3.9413085937499996,False,
1.1529773473739624e-06,DT00,11,30.0,1.1764705882352942,85.0,False,12.00439453125,3.9413085937499996,False,
1.1529773473739624e-06,DT00,12,30.0,1.1764705882352942,85.0,False,12.00439453125,3.9413085937499996,False,
1.1529773473739624e-06,DT00,13,30.5,1.1764705882352942,85.0,False,12.00439453125,3.9413085937499996,False,
1.1529773473739624e-06,DT00,14,30.5,1.1764705882352942,85.0,False,12.00439453125,3.9413085937499996,False,
1.1529773473739624e-06,DT00,15,30.0,1.1764705882352942,85.0,False,12.00439453125,3.9413085937499996,False,
1.1529773473739624e-06,DT00,16,29.5,0.0,85.0,False,12.00439453125,3.9413085937499996,False,
1.1529773473739624e-06,DT00,17,28.0,,85.0,False,12.00439453125,3.9413085937499996,False,
1.1529773473739624e-06,DT00,18,28.5,,85.0,False,12.00439453125,3.9413085937499996,False,
1.1529773473739624e-06,DT01,0,31.5,1.1764705882352942,85.0,False,11.968945312499999,3.8849121093749996,False,
1.1529773473739624e-06,DT01,1,31.5,1.1764705882352942,85.0,False,11.968945312499999,3.8849121093749996,False,
1.1529773473739624e-06,DT01,2,30.5,1.1764705882352942,85.0,False,11.968945312499999,3.8849121093749996,False,
1.1529773473739624e-06,DT01,3,30.5,1.1764705882352942,85.0,False,11.968945312499999,3.8849121093749996,False,
1.1529773473739624e-06,DT01,4,32.0,1.1764705882352942,85.0,False,11.968945312499999,3.8849121093749996,False,
1.1529773473739624e-06,DT01,5,32.0,1.1764705882352942,85.0,False,11.968945312499999,3.8849121093749996,False,
1.1529773473739624e-06,DT01,6,30.5,1.1764705882352942,85.0,False,11.968945312499999,3.8849121093749996,False,
1.1529773473739624e-06,DT01,7,30.0,1.1764705882352942,85.0,False,11.968945312499999,3.8849121093749996,False,
1.1529773473739624e-06,DT01,8,31.5,1.1764705882352942,85.0,False,11.968945312499999,3.8849121093749996,False,
1.1529773473739624e-06,DT01,9,31.5,1.1764705882352942,85.0,False,11.968945312499999,3.8849121093749996,False,
1.1529773473739624e-06,DT01,10,30.5,1.1764705882352942,85.0,False,11.968945312499999,3.8849121093749996,False,
1.1529773473739624e-06,DT01,11,30.0,1.1764705882352942,85.0,False,11.968945312499999,3.8849121093749996,False,
1.1529773473739624e-06,DT01,12,30.5,1.1764705882352942,85.0,False,11.968945312499999,3.8849121093749996,False,
