elapsed_time,card_serial,channel,temperature,load_power,ot_shutdown_t,ot_ev,voltage,current,steady_state,temp_rate_per_min
8.829993021208793e-07,DT00,0,55.0,1.1764705882352942,85.0,False,12.05595703125,0.8749511718749999,False,
8.829993021208793e-07,DT00,1,58.5,1.1764705882352942,85.0,False,12.05595703125,0.8749511718749999,False,
8.829993021208793e-07,DT00,2,67.5,1.1764705882352942,85.0,False,12.05595703125,0.8749511718749999,False,
8.829993021208793e-07,DT00,3,62.5,1.1764705882352942,85.0,False,12.05595703125,0.8749511718749999,False,
8.829993021208793e-07,DT00,4,61.0,1.1764705882352942,85.0,False,12.05595703125,0.8749511718749999,False,
8.829993021208793e-07,DT00,5,62.5,1.1764705882352942,85.0,False,12.05595703125,0.8749511718749999,False,
8.829993021208793e-07,DT00,6,70.0,1.1764705882352942,85.0,False,12.05595703125,0.8749511718749999,False,
8.829993021208793e-07,DT00,7,67.5,1.1764705882352942,85.0,False,12.05595703125,0.8749511718749999,False,
8.829993021208793e-07,DT00,8,60.5,1.1764705882352942,85.0,False,12.05595703125,0.8749511718749999,False,
8.829993021208793e-07,DT00,9,65.5,1.1764705882352942,85.0,False,12.05595703125,0.8749511718749999,False,
8.829993021208793e-07,DT00,10,71.0,1.1764705882352942,85.0,False,12.05595703125,0.8749511718749999,False,
8.829993021208793e-07,DT00,11,67.5,1.1764705882352942,85.0,False,12.05595703125,0.8749511718749999,False,
8.829993021208793e-07,DT00,12,55.0,1.1764705882352942,85.0,False,12.05595703125,0.8749511718749999,False,
8.829993021208793e-07,DT00,13,65.5,1.1764705882352942,85.0,False,12.05595703125,0.8749511718749999,False,
8.829993021208793e-07,DT00,14,73.0,1.1764705882352942,85.0,False,12.05595703125,0.8749511718749999,False,
8.829993021208793e-07,DT00,15,70.0,1.1764705882352942,85.0,False,12.05595703125,0.8749511718749999,False,
8.829993021208793e-07,DT00,16,63.5,0.0,85.0,False,12.05595703125,0.8749511718749999,False,
8.829993021208793e-07,DT00,17,52.0,,85.0,False,12.05595703125,0.8749511718749999,False,
8.829993021208793e-07,DT00,18,53.0,,85.0,False,12.05595703125,0.8749511718749999,False,
8.829993021208793e-07,DT01,0,54.0,0.0,85.0,False,12.1107421875,0.314208984375,False,
8.829993021208793e-07,DT01,1,65.0,0.0,85.0,False,12.1107421875,0.314208984375,False,
8.829993021208793e-07,DT01,2,62.0,0.0,85.0,False,12.1107421875,0.314208984375,False,
8.829993021208793e-07,DT01,3,63.5,0.0,85.0,False,12.1107421875,0.314208984375,False,
8.829993021208793e-07,DT01,4,59.5,0.0,85.0,False,12.1107421875,0.314208984375,False,
8.829993021208793e-07,DT01,5,64.5,0.0,85.0,False,12.1107421875,0.314208984375,False,
8.829993021208793e-07,DT01,6,67.0,0.0,85.0,False,12.1107421875,0.314208984375,False,
8.829993021208793e-07,DT01,7,68.5,0.0,85.0,False,12.1107421875,0.314208984375,False,
8.829993021208793e-07,DT01,8,59.5,0.0,85.0,False,12.1107421875,0.314208984375,False,
8.829993021208793e-07,DT01,9,64.0,0.0,85.0,False,12.1107421875,0.314208984375,False,
8.829993021208793e-07,DT01,10,70.5,0.0,85.0,False,12.1107421875,0.314208984375,False,
8.829993021208793e-07,DT01,11,71.5,0.0,85.0,False,12.1107421875,0.314208984375,False,
8.829993021208793e-07,DT01,12,55.0,0.0,85.0,False,12.1107421875,0.314208984375,False,
8.829993021208793e-07,DT01,13,63.0,0.0,85.0,False,12.1107421875,0.314208984375,False,
8.829993021208793e-07,DT01,14,72.5,0.0,85.0,False,12.1107421875,0.314208984375,False,
8.829993021208793e-07,DT01,15,70.5,0.0,85.0,False,12.1107421875,0.314208984375,False,
8.829993021208793e-07,DT01,16,63.5,0.0,85.0,False,12.1107421875,0.314208984375,False,
8.829993021208793e-07,DT01,17,54.0,,85.0,False,12.1107421875,0.314208984375,False,
8.829993021208793e-07,DT01,18,53.5,,85.0,False,12.1107421875,0.314208984375,False,
8.829993021208793e-07,DT02,0,56.5,1.1764705882352942,85.0,False,11.856152343749999,0.40122070312499997,False,
