elapsed_time,card_serial,channel,temperature,load_power,ot_shutdown_t,ot_ev,voltage,current,steady_state,temp_rate_per_min
6.55001713312231e-07,DT00,0,51.0,0.0,85.0,False,12.139746093749999,0.054785156249999994,False,
6.55001713312231e-07,DT00,1,53.5,0.0,85.0,False,12.139746093749999,0.054785156249999994,False,
6.55001713312231e-07,DT00,2,62.5,0.0,85.0,False,12.139746093749999,0.054785156249999994,False,
6.55001713312231e-07,DT00,3,58.0,0.0,85.0,False,12.139746093749999,0.054785156249999994,False,
6.55001713312231e-07,DT00,4,57.5,0.0,85.0,False,12.139746093749999,0.054785156249999994,False,
6.55001713312231e-07,DT00,5,57.5,0.0,85.0,False,12.139746093749999,0.054785156249999994,False,
6.55001713312231e-07,DT00,6,65.0,0.0,85.0,False,12.139746093749999,0.054785156249999994,False,
6.55001713312231e-07,DT00,7,62.5,0.0,85.0,False,12.139746093749999,0.054785156249999994,False,
6.55001713312231e-07,DT00,8,57.5,0.0,85.0,False,12.139746093749999,0.054785156249999994,False,
6.55001713312231e-07,DT00,9,61.0,0.0,85.0,False,12.139746093749999,0.054785156249999994,False,
6.55001713312231e-07,DT00,10,66.0,0.0,85.0,False,12.139746093749999,0.054785156249999994,False,
6.55001713312231e-07,DT00,11,62.5,0.0,85.0,False,12.139746093749999,0.054785156249999994,False,
6.55001713312231e-07,DT00,12,52.5,0.0,85.0,False,12.139746093749999,0.054785156249999994,False,
6.55001713312231e-07,DT00,13,62.0,0.0,85.0,False,12.139746093749999,0.054785156249999994,False,
6.55001713312231e-07,DT00,14,68.0,0.0,85.0,False,12.139746093749999,0.054785156249999994,False,
6.55001713312231e-07,DT00,15,65.5,0.0,85.0,False,12.139746093749999,0.054785156249999994,False,
6.55001713312231e-07,DT00,16,58.5,0.0,85.0,False,12.139746093749999,0.054785156249999994,False,
6.55001713312231e-07,DT00,17,48.5,,85.0,False,12.139746093749999,0.054785156249999994,False,
6.55001713312231e-07,DT00,18,51.0,,85.0,False,12.139746093749999,0.054785156249999994,False,
6.55001713312231e-07,DT01,0,42.5,1.1764705882352942,85.0,False,12.059179687499999,1.1666015625,False,
6.55001713312231e-07,DT01,1,45.5,1.1764705882352942,85.0,False,12.059179687499999,1.1666015625,False,
6.55001713312231e-07,DT01,2,47.5,1.1764705882352942,85.0,False,12.059179687499999,1.1666015625,False,
6.55001713312231e-07,DT01,3,48.5,1.1764705882352942,85.0,False,12.059179687499999,1.1666015625,False,
6.55001713312231e-07,DT01,4,43.0,1.1764705882352942,85.0,False,12.059179687499999,1.1666015625,False,
6.55001713312231e-07,DT01,5,45.5,1.1764705882352942,85.0,False,12.059179687499999,1.1666015625,False,
6.55001713312231e-07,DT01,6,48.5,1.1764705882352942,85.0,False,12.059179687499999,1.1666015625,False,
6.55001713312231e-07,DT01,7,50.0,1.1764705882352942,85.0,False,12.059179687499999,1.1666015625,False,
6.55001713312231e-07,DT01,8,41.0,1.1764705882352942,85.0,False,12.059179687499999,1.1666015625,False,
6.55001713312231e-07,DT01,9,45.0,1.1764705882352942,85.0,False,12.059179687499999,1.1666015625,False,
6.55001713312231e-07,DT01,10,49.0,1.1764705882352942,85.0,False,12.059179687499999,1.1666015625,False,
6.55001713312231e-07,DT01,11,51.0,1.1764705882352942,85.0,False,12.059179687499999,1.1666015625,False,
6.55001713312231e-07,DT01,12,38.5,1.1764705882352942,85.0,False,12.059179687499999,1.1666015625,False,
6.55001713312231e-07,DT01,13,44.0,1.1764705882352942,85.0,False,12.059179687499999,1.1666015625,False,
6.55001713312231e-07,DT01,14,49.5,1.1764705882352942,85.0,False,12.059179687499999,1.1666015625,False,
6.55001713312231e-07,DT01,15,51.5,1.1764705882352942,85.0,False,12.059179687499999,1.1666015625,False,
6.55001713312231e-07,DT01,16,46.0,0.0,85.0,False,12.059179687499999,1.1666015625,False,
6.55001713312231e-07,DT01,17,48.0,,85.0,False,12.059179687499999,1.1666015625,False,
6.55001713312231e-07,DT01,18,48.5,,85.0,False,12.059179687499999,1.1666015625,False,
6.55001713312231e-07,DT02,0,50.5,0.0,85.0,False,12.05595703125,0.28681640625,False,
6.55001713312231e-07,DT02,1,60.0,0.0,85.0,False,12.05595703125,0.28681640625,False,
6.55001713312231e-07,DT02,2,60.0,0.0,85.0,False,12.05595703125,0.28681640625,False,
6.55001713312231e-07,DT02,3,62.5,0.0,85.0,False,12.05595703125,0.28681640625,False,
6.55001713312231e-07,DT02,4,53.5,0.0,85.0,False,12.05595703125,0.28681640625,False,
6.55001713312231e-07,DT02,5,61.0,0.0,85.0,False,12.05595703125,0.28681640625,False,
6.55001713312231e-07,DT02,6,64.0,0.0,85.0,False,12.05595703125,0.28681640625,False,
6.55001713312231e-07,DT02,7,62.5,0.0,85.0,False,12.05595703125,0.28681640625,False,
6.55001713312231e-07,DT02,8,54.5,0.0,85.0,False,12.05595703125,0.28681640625,False,
6.55001713312231e-07,DT02,9,61.5,0.0,85.0,False,12.05595703125,0.28681640625,False,
6.55001713312231e-07,DT02,10,65.0,0.0,85.0,False,12.05595703125,0.28681640625,False,
6.55001713312231e-07,DT02,11,64.0,0.0,85.0,False,12.05595703125,0.28681640625,False,
6.55001713312231e-07,DT02,12,53.5,0.0,85.0,False,12.05595703125,0.28681640625,False,
6.55001713312231e-07,DT02,13,61.0,0.0,85.0,False,12.05595703125,0.28681640625,False,
6.55001713312231e-07,DT02,14,64.5,0.0,85.0,False,12.05595703125,0.28681640625,False,
6.55001713312231e-07,DT02,15,64.0,0.0,85.0,False,12.05595703125,0.28681640625,False,
6.55001713312231e-07,DT02,16,61.0,0.0,85.0,False,12.05595703125,0.28681640625,False,
6.55001713312231e-07,DT02,17,50.0,,85.0,False,12.05595703125,0.28681640625,False,
6.55001713312231e-07,DT02,18,50.5,,85.0,False,12.05595703125,0.28681640625,False,
6.55001713312231e-07,DT03,0,45.5,1.1764705882352942,85.0,False,12.0140625,0.18369140625,False,
6.55001713312231e-07,DT03,1,49.0,1.1764705882352942,85.0,False,12.0140625,0.18369140625,False,
6.55001713312231e-07,DT03,2,50.5,1.1764705882352942,85.0,False,12.0140625,0.18369140625,False,
6.55001713312231e-07,DT03,3,49.0,1.1764705882352942,85.0,False,12.0140625,0.18369140625,False,
6.55001713312231e-07,DT03,4,46.5,1.1764705882352942,85.0,False,12.0140625,0.18369140625,False,
6.55001713312231e-07,DT03,5,50.0,1.1764705882352942,85.0,False,12.0140625,0.18369140625,False,
6.55001713312231e-07,DT03,6,50.5,1.1764705882352942,85.0,False,12.0140625,0.18369140625,False,
6.55001713312231e-07,DT03,7,49.5,1.1764705882352942,85.0,False,12.0140625,0.18369140625,False,
6.55001713312231e-07,DT03,8,46.0,1.1764705882352942,85.0,False,12.0140625,0.18369140625,False,
6.55001713312231e-07,DT03,9,50.5,1.1764705882352942,85.0,False,12.0140625,0.18369140625,False,
6.55001713312231e-07,DT03,10,51.0,1.1764705882352942,85.0,False,12.0140625,0.18369140625,False,
