elapsed_time,card_serial,channel,temperature,load_power,ot_shutdown_t,ot_ev,voltage,current,steady_state,temp_rate_per_min
1.308973878622055e-06,DT00,0,27.5,0.8822766460669872,85.0,False,12.03017578125,1.8755859375,False,
1.308973878622055e-06,DT00,1,28.0,0.8822766460669872,85.0,False,12.03017578125,1.8755859375,False,
1.308973878622055e-06,DT00,2,27.5,0.8822766460669872,85.0,False,12.03017578125,1.8755859375,False,
1.308973878622055e-06,DT00,3,27.5,0.8822766460669872,85.0,False,12.03017578125,1.8755859375,False,
1.308973878622055e-06,DT00,4,28.0,0.8822766460669872,85.0,False,12.03017578125,1.8755859375,False,
1.308973878622055e-06,DT00,5,28.5,0.8822766460669872,85.0,False,12.03017578125,1.8755859375,False,
1.308973878622055e-06,DT00,6,28.0,0.8822766460669872,85.0,False,12.03017578125,1.8755859375,False,
1.308973878622055e-06,DT00,7,27.5,0.8822766460669872,85.0,False,12.03017578125,1.8755859375,False,
1.308973878622055e-06,DT00,8,27.5,0.8822766460669872,85.0,False,12.03017578125,1.8755859375,False,
1.308973878622055e-06,DT00,9,28.5,0.8822766460669872,85.0,False,12.03017578125,1.8755859375,False,
1.308973878622055e-06,DT00,10,28.5,0.8822766460669872,85.0,False,12.03017578125,1.8755859375,False,
1.308973878622055e-06,DT00,11,28.0,0.8822766460669872,85.0,False,12.03017578125,1.8755859375,False,
1.308973878622055e-06,DT00,12,27.0,0.8822766460669872,85.0,False,12.03017578125,1.8755859375,False,
1.308973878622055e-06,DT00,13,28.0,0.8822766460669872,85.0,False,12.03017578125,1.8755859375,False,
1.308973878622055e-06,DT00,14,28.0,0.8822766460669872,85.0,False,12.03017578125,1.8755859375,False,
1.308973878622055e-06,DT00,15,28.0,0.8822766460669872,85.0,False,12.03017578125,1.8755859375,False,
1.308973878622055e-06,DT00,16,27.0,0.0,85.0,False,12.03017578125,1.8755859375,False,
1.308973878622055e-06,DT00,17,26.5,,85.0,False,12.03017578125,1.8755859375,False,
1.308973878622055e-06,DT00,18,26.5,,85.0,False,12.03017578125,1.8755859375,False,
1.308973878622055e-06,DT01,0,27.0,0.8822766460669872,85.0,False,12.0205078125,2.2671386718749997,False,
1.308973878622055e-06,DT01,1,28.0,0.8822766460669872,85.0,False,12.0205078125,2.2671386718749997,False,
1.308973878622055e-06,DT01,2,27.5,0.8822766460669872,85.0,False,12.0205078125,2.2671386718749997,False,
1.308973878622055e-06,DT01,3,27.5,0.8822766460669872,85.0,False,12.0205078125,2.2671386718749997,False,
1.308973878622055e-06,DT01,4,27.5,0.8822766460669872,85.0,False,12.0205078125,2.2671386718749997,False,
1.308973878622055e-06,DT01,5,28.0,0.8822766460669872,85.0,False,12.0205078125,2.2671386718749997,False,
1.308973878622055e-06,DT01,6,27.5,0.8822766460669872,85.0,False,12.0205078125,2.2671386718749997,False,
1.308973878622055e-06,DT01,7,27.5,0.8822766460669872,85.0,False,12.0205078125,2.2671386718749997,False,
1.308973878622055e-06,DT01,8,27.0,0.8822766460669872,85.0,False,12.0205078125,2.2671386718749997,False,
1.308973878622055e-06,DT01,9,28.0,0.8822766460669872,85.0,False,12.0205078125,2.2671386718749997,False,
1.308973878622055e-06,DT01,10,27.5,0.8822766460669872,85.0,False,12.0205078125,2.2671386718749997,False,
1.308973878622055e-06,DT01,11,27.5,0.8822766460669872,85.0,False,12.0205078125,2.2671386718749997,False,
1.308973878622055e-06,DT01,12,26.5,0.8822766460669872,85.0,False,12.0205078125,2.2671386718749997,False,
1.308973878622055e-06,DT01,13,27.5,0.8822766460669872,85.0,False,12.0205078125,2.2671386718749997,False,
1.308973878622055e-06,DT01,14,28.0,0.8822766460669872,85.0,False,12.0205078125,2.2671386718749997,False,
1.308973878622055e-06,DT01,15,27.5,0.8822766460669872,85.0,False,12.0205078125,2.2671386718749997,False,
1.308973878622055e-06,DT01,16,26.5,0.0,85.0,False,12.0205078125,2.2671386718749997,False,
1.308973878622055e-06,DT01,17,26.5,,85.0,False,12.0205078125,2.2671386718749997,False,
1.308973878622055e-06,DT01,18,26.5,,85.0,False,12.0205078125,2.2671386718749997,False,
1.308973878622055e-06,DT02,0,27.0,0.8822766460669872,85.0,False,12.052734375,0.32871093749999997,False,
1.308973878622055e-06,DT02,1,28.0,0.8822766460669872,85.0,False,12.052734375,0.32871093749999997,False,
1.308973878622055e-06,DT02,2,27.5,0.8822766460669872,85.0,False,12.052734375,0.32871093749999997,False,
1.308973878622055e-06,DT02,3,28.0,0.8822766460669872,85.0,False,12.052734375,0.32871093749999997,False,
1.308973878622055e-06,DT02,4,27.5,0.8822766460669872,85.0,False,12.052734375,0.32871093749999997,False,
1.308973878622055e-06,DT02,5,28.0,0.8822766460669872,85.0,False,12.052734375,0.32871093749999997,False,
